reference,read_count
A0A839T234|UNREVIEWED|DIHYDROFOLATE,1
2913357975,1
A0A2E5I9F0|UNREVIEWED|DIHYDROFOLATE,1
A0A2E8TRP0|UNREVIEWED|DIHYDROFOLATE,1
2628439329,1
C5WG30~cp3,1
A0A7V0S1P0|UNREVIEWED|DIHYDROFOLATE,1
A0A0S1Y718_9BORD,1
2800520783,1
A0A059WVE0|UNREVIEWED|DIHYDROFOLATE,1
A0A1W9K2X3|UNREVIEWED|DIHYDROFOLATE,1
A0A2S0II41|UNREVIEWED|DIHYDROFOLATE,1
A0A0X3TK37|UNREVIEWED|DIHYDROFOLATE,1
2895232503,1
2710315291,1
A0A8I1TFU9|UNREVIEWED|DIHYDROFOLATE,1
P0ABQ4_M20I~cp1,1
A0A4R3MLM4_9FIRM,1
2563356403,1
χHi_Haemophilus_influenza_PADLAWFRQK~cp1,1
A0A8F7ZLW8|UNREVIEWED|DIHYDROFOLATE,1
A0A1S8FNC7_9BURK,1
A0A2V9LLI8|UNREVIEWED|DIHYDROFOLATE,1
2867383020,1
A0A0W1KYH8|UNREVIEWED|DIHYDROFOLATE,1
A0A1E3W8Q7_9RHIZ,1
2898009469,1
A0A222PAL6|UNREVIEWED|DIHYDROFOLATE,1
P0ABQ4_folA_esm1b-mask-all_v2~cp4,1
A0A7Y0LWN9|UNREVIEWED|DIHYDROFOLATE,1
A0A1T5AWC7_9SPHI,1
